"","state","stateAbbr","year","newCases","newDeaths","totCases","stayHome","maskMandate","maskStrict"
"81","Montana","MT",2022,113389,603,104203928,TRUE,TRUE,FALSE
"82","North Carolina","NC",2020,547273,7926,46102724,TRUE,TRUE,TRUE
"83","North Carolina","NC",2021,1145126,11907,405237915,TRUE,TRUE,TRUE
"84","North Carolina","NC",2022,1537060,7090,1042407933,TRUE,TRUE,TRUE
"85","North Dakota","ND",2020,92770,1309,6699552,FALSE,TRUE,TRUE
"86","North Dakota","ND",2021,81856,703,43654857,FALSE,TRUE,TRUE
"87","North Dakota","ND",2022,96459,375,91431413,FALSE,TRUE,TRUE
"88","Nebraska","NE",2020,167233,1651,13027412,FALSE,FALSE,FALSE
"89","Nebraska","NE",2021,175706,1295,86939017,FALSE,FALSE,FALSE
"90","Nebraska","NE",2022,175554,1218,181074429,FALSE,FALSE,FALSE
"91","New Hampshire","NH",2020,44028,758,2704264,TRUE,TRUE,FALSE
"92","New Hampshire","NH",2021,154639,1203,38665756,TRUE,TRUE,FALSE
"93","New Hampshire","NH",2022,155776,760,117906648,TRUE,TRUE,FALSE
"94","New Jersey","NJ",2020,527784,17218,57189415,TRUE,TRUE,TRUE
"95","New Jersey","NJ",2021,1045474,9995,370633470,TRUE,TRUE,TRUE
"96","New Jersey","NJ",2022,1209708,5797,901550543,TRUE,TRUE,TRUE
"97","New Mexico","NM",2020,142864,2385,9583740,TRUE,TRUE,TRUE
"98","New Mexico","NM",2021,207179,3253,82072190,TRUE,TRUE,TRUE
"99","New Mexico","NM",2022,273136,2758,204940501,TRUE,TRUE,TRUE
"100","Nevada","NV",2020,224731,3125,18098714,TRUE,TRUE,TRUE
"101","Nevada","NV",2021,266760,5295,130780374,TRUE,TRUE,TRUE
"102","Nevada","NV",2022,302311,2730,277652515,TRUE,TRUE,TRUE
"103","New York","NY",2020,548154,12566,125044071,TRUE,TRUE,TRUE
"104","New York","NY",2021,1376452,11367,769936278,TRUE,TRUE,TRUE
"105","New York","NY",2022,1350525,5745,2014130205,TRUE,TRUE,TRUE
"106","Ohio","OH",2020,700380,8962,44802253,TRUE,TRUE,TRUE
"107","Ohio","OH",2021,1311561,16722,442128245,TRUE,TRUE,TRUE
"108","Ohio","OH",2022,1146183,10590,1049741508,TRUE,TRUE,TRUE
"109","Oklahoma","OK",2020,325524,4564,20507184,TRUE,FALSE,FALSE
"110","Oklahoma","OK",2021,383414,5993,184304120,TRUE,FALSE,FALSE
"111","Oklahoma","OK",2022,496581,3331,398759889,TRUE,FALSE,FALSE
"112","Oregon","OR",2020,113909,1477,8321955,TRUE,TRUE,TRUE
"113","Oregon","OR",2021,307354,4178,88684129,TRUE,TRUE,TRUE
"114","Oregon","OR",2022,481056,2967,287600056,TRUE,TRUE,TRUE
"115","Pennsylvania","PA",2020,648569,15978,46122277,TRUE,TRUE,TRUE
"116","Pennsylvania","PA",2021,1370900,20727,455949792,TRUE,TRUE,TRUE
"117","Pennsylvania","PA",2022,1243766,10583,1093025160,TRUE,TRUE,TRUE
"118","Rhode Island","RI",2020,85398,1778,6811311,TRUE,TRUE,TRUE
"119","Rhode Island","RI",2021,137346,1296,55711577,TRUE,TRUE,TRUE
"120","Rhode Island","RI",2022,185395,607,137016572,TRUE,TRUE,TRUE
"121","South Carolina","SC",2020,317436,5309,29296034,TRUE,FALSE,TRUE
"122","South Carolina","SC",2021,660742,9376,242240526,TRUE,FALSE,TRUE
"123","South Carolina","SC",2022,740385,3842,529037349,TRUE,FALSE,TRUE
"124","South Dakota","SD",2020,99164,1488,7212470,FALSE,FALSE,FALSE
"125","South Dakota","SD",2021,80040,998,47776723,FALSE,FALSE,FALSE
"126","South Dakota","SD",2022,82957,560,89676589,FALSE,FALSE,FALSE
"127","Tennessee","TN",2020,575913,6810,44138922,TRUE,FALSE,FALSE
"128","Tennessee","TN",2021,847955,11907,355494621,TRUE,FALSE,FALSE
"129","Tennessee","TN",2022,907488,6775,775970742,TRUE,FALSE,FALSE
"130","Texas","TX",2020,1688697,31282,157033313,FALSE,TRUE,TRUE
"131","Texas","TX",2021,2771073,43209,1191463471,FALSE,TRUE,TRUE
"132","Texas","TX",2022,3244395,14938,2602059962,FALSE,TRUE,TRUE
"133","Utah","UT",2020,276612,1269,19937516,FALSE,TRUE,FALSE
"134","Utah","UT",2021,360380,2508,162615824,FALSE,TRUE,FALSE
"135","Utah","UT",2022,404659,1247,354320297,FALSE,TRUE,FALSE
"136","Virginia","VA",2020,349584,5032,32855598,TRUE,TRUE,TRUE
"137","Virginia","VA",2021,768934,10555,263798657,TRUE,TRUE,TRUE
"138","Virginia","VA",2022,988009,6470,677743555,TRUE,TRUE,TRUE
"139","Vermont","VT",2020,6970,145,560945,TRUE,TRUE,FALSE
"140","Vermont","VT",2021,53818,308,10102240,TRUE,TRUE,FALSE
"141","Vermont","VT",2022,73057,247,47153626,TRUE,TRUE,FALSE
"142","Washington","WA",2020,244803,3461,20994437,TRUE,TRUE,TRUE
"143","Washington","WA",2021,614347,6392,184422309,TRUE,TRUE,TRUE
"144","Washington","WA",2022,969768,4611,588929360,TRUE,TRUE,TRUE
"145","Wisconsin","WI",2020,520438,5242,38299345,TRUE,TRUE,TRUE
"146","Wisconsin","WI",2021,600231,5931,267311675,TRUE,TRUE,TRUE
"147","Wisconsin","WI",2022,762459,4201,625819667,TRUE,TRUE,TRUE
"148","West Virginia","WV",2020,85334,1338,4657018,TRUE,TRUE,TRUE
"149","West Virginia","WV",2021,242828,3815,68391480,TRUE,TRUE,TRUE
"150","West Virginia","WV",2022,276850,2263,195589713,TRUE,TRUE,TRUE
"151","Wyoming","WY",2020,44409,438,2579132,FALSE,TRUE,TRUE
"152","Wyoming","WY",2021,71229,1088,26469021,FALSE,TRUE,TRUE
"153","Wyoming","WY",2022,62394,380,59843797,FALSE,TRUE,TRUE
